number,value,datetime_start,datetime_complete,duration,params_add_l1,params_batch_size,params_conv1_channels,params_conv2_channels,params_criterion,params_dropout,params_epochs,params_fc_size,params_kernel_size_conv1,params_lambda_l1,params_lr,params_use_batch_norm,user_attrs_mean_accuracy,user_attrs_std_accuracy,state
0,0.6677801418439717,2024-10-31 14:37:49.138150,2024-10-31 14:41:56.729026,0 days 00:04:07.590876,False,128,32,64,cross_entropy,0.43039825342432053,47,128,5,0.0,2.8054601441577588e-05,False,0.6677801418439717,0.04350279679581412,COMPLETE
1,0.7055574712643679,2024-10-31 14:41:56.740717,2024-10-31 14:45:09.429821,0 days 00:03:12.689104,True,128,64,128,cross_entropy,0.17733435395260522,29,64,2,1.9014916801350306e-05,0.00022293880957537354,False,0.7055574712643679,0.04576457278661222,COMPLETE
2,0.7581034482758618,2024-10-31 14:45:09.440315,2024-10-31 14:49:04.894223,0 days 00:03:55.453908,False,64,32,128,cross_entropy,0.2898630776683725,29,128,5,0.0,0.00020887143925250152,False,0.7581034482758618,0.06280796026911609,COMPLETE
4,0.772712643678161,2024-10-31 14:53:35.099476,2024-10-31 14:57:08.328690,0 days 00:03:33.229214,False,128,64,64,nf_land_rce,0.10330274730257508,29,64,3,0.0,0.0009536536530709598,True,0.772712643678161,0.05959304673741516,COMPLETE
5,0.3469880952380952,2024-10-31 14:57:08.340828,2024-10-31 15:08:36.337853,0 days 00:11:27.997025,False,32,64,64,cross_entropy,0.4976928643440897,49,256,5,0.0,0.004006172567258268,True,0.3469880952380952,0.030785290756855408,COMPLETE
6,0.7122942708333332,2024-10-31 15:08:36.350497,2024-10-31 15:16:05.715580,0 days 00:07:29.365083,False,64,64,256,cross_entropy,0.15626229531736824,32,256,4,0.0,3.451659818642591e-05,False,0.7122942708333332,0.05063023371598222,COMPLETE
7,0.24922222222222226,2024-10-31 15:16:05.726985,2024-10-31 15:22:02.423542,0 days 00:05:56.696557,True,32,64,128,cross_entropy,0.4344053757862383,21,128,5,2.0509371742967548e-05,0.004088769380872157,False,0.24922222222222226,0.011906723383382813,COMPLETE
8,0.7165133333333333,2024-10-31 15:22:02.436154,2024-10-31 15:26:54.255433,0 days 00:04:51.819279,True,64,64,64,nf_land_rce,0.2942874949632521,25,64,2,7.232339959203363e-05,2.1243768488853784e-05,True,0.7165133333333333,0.05078577381730264,COMPLETE
9,0.6926,2024-10-31 15:26:54.265946,2024-10-31 15:30:42.386525,0 days 00:03:48.120579,True,64,32,256,nf_land_rce,0.45007761565291665,20,128,4,3.6998761560836746e-05,0.0008285782023054468,False,0.6926,0.0447121860719573,COMPLETE
10,0.6715277777777776,2024-10-31 15:30:42.407127,2024-10-31 15:34:41.651997,0 days 00:03:59.244870,True,128,32,128,nf_land_rce,0.27679270552440965,33,256,3,0.0007231134383579543,0.002435810256101544,True,0.6715277777777776,0.02121855632307405,COMPLETE
