number,value,datetime_start,datetime_complete,duration,params_add_l1,params_batch_size,params_conv1_channels,params_conv2_channels,params_criterion,params_dropout,params_epochs,params_fc_size,params_kernel_size_conv1,params_lambda_l1,params_lr,params_use_batch_norm,user_attrs_mean_accuracy,user_attrs_std_accuracy,state
1,0.37623282358156024,2024-10-31 19:28:37.348627,2024-10-31 19:31:58.922368,0 days 00:03:21.573741,True,128,32,256,nf_land_rce,0.3024205954332167,47,128,2,3.9744845641176954e-05,0.0014847852286384534,True,0.37623282358156024,0.00862033614678215,COMPLETE
2,0.2555989583333334,2024-10-31 19:31:58.933955,2024-10-31 19:38:18.793016,0 days 00:06:19.859061,True,32,64,64,nf_land_rce,0.27441583603393144,29,128,5,0.0030286525679971347,8.964048179998964e-05,True,0.2555989583333334,0.009186555179951494,COMPLETE
3,0.3825402462121211,2024-10-31 19:38:18.804958,2024-10-31 19:43:04.119481,0 days 00:04:45.314523,True,32,64,256,nf_land_rce,0.23715007925021894,22,64,4,3.268748307699156e-05,0.00028429777274509196,False,0.3825402462121211,0.011830401738641418,COMPLETE
4,0.24427083333333335,2024-10-31 19:43:04.135338,2024-10-31 19:45:40.965937,0 days 00:02:36.830599,False,128,64,128,nf_land_rce,0.1322249159097431,35,256,5,0.0,0.002120491533095649,False,0.24427083333333335,0.007031249999999989,COMPLETE
5,0.39284375,2024-10-31 19:45:40.975498,2024-10-31 19:47:01.040615,0 days 00:01:20.065117,False,128,32,64,nf_land_rce,0.34371942770398334,25,128,4,0.0,9.813259876435636e-05,True,0.39284375,0.016438975298179833,COMPLETE
6,0.39945684523809516,2024-10-31 19:47:01.056405,2024-10-31 19:52:29.596397,0 days 00:05:28.539992,False,32,32,64,nf_land_rce,0.47939027796085315,35,128,5,0.0,1.265045992993833e-05,True,0.39945684523809516,0.02203675240063566,COMPLETE
7,0.39323640046296293,2024-10-31 19:52:29.606330,2024-10-31 19:58:26.779392,0 days 00:05:57.173062,False,64,128,256,nf_land_rce,0.4272449349653688,36,64,4,0.0,0.0001665321365846549,False,0.39323640046296293,0.007621109090406079,COMPLETE
8,0.2447916666666666,2024-10-31 19:58:26.791511,2024-10-31 20:00:55.807863,0 days 00:02:29.016352,False,32,32,64,cross_entropy,0.34188106140961066,23,128,3,0.0,0.005138797228450752,False,0.2447916666666666,0.0054687499999999944,COMPLETE
9,0.38110719086021505,2024-10-31 20:00:55.819068,2024-10-31 20:02:38.388806,0 days 00:01:42.569738,False,128,32,128,cross_entropy,0.2733086995562869,31,256,5,0.0,8.389609332297349e-05,False,0.38110719086021505,0.005773608296915866,COMPLETE
10,0.3848218513257576,2024-10-31 20:02:38.399453,2024-10-31 20:10:24.681948,0 days 00:07:46.282495,True,32,32,128,nf_land_rce,0.3001837854211953,44,256,3,8.508004895541849e-05,3.942811506467426e-05,False,0.3848218513257576,0.006738882956459474,COMPLETE
11,0.39002604166666666,2024-10-31 20:10:24.699104,2024-10-31 20:14:22.322586,0 days 00:03:57.623482,False,64,128,64,cross_entropy,0.4997768287781167,40,128,2,0.0,1.0254034878695877e-05,True,0.39002604166666666,0.0063786669056359714,COMPLETE
12,0.4082956414473684,2024-10-31 20:14:22.333313,2024-10-31 20:21:22.388739,0 days 00:07:00.055426,False,64,128,256,nf_land_rce,0.4935229037040165,38,64,4,0.0,1.162126535042371e-05,True,0.4082956414473684,0.022164692325616835,COMPLETE
13,0.4060430021367522,2024-10-31 20:21:22.403880,2024-10-31 20:28:33.309165,0 days 00:07:10.905285,False,64,128,256,nf_land_rce,0.49116761256400376,39,64,4,0.0,1.0547532754416358e-05,True,0.4060430021367522,0.030327753075560588,COMPLETE
14,0.41550749491869915,2024-10-31 20:28:33.320669,2024-10-31 20:35:54.567305,0 days 00:07:21.246636,False,64,128,256,nf_land_rce,0.41914734548095073,41,64,4,0.0,2.967710247959031e-05,True,0.41550749491869915,0.0410413843979653,COMPLETE
15,0.41027848639455794,2024-10-31 20:35:54.577212,2024-10-31 20:44:32.200747,0 days 00:08:37.623535,False,64,128,256,cross_entropy,0.41352893659257084,49,64,4,0.0,4.052412566704377e-05,True,0.41027848639455794,0.055586597082133406,COMPLETE
16,0.4301525297619047,2024-10-31 20:44:32.209372,2024-10-31 20:53:10.161147,0 days 00:08:37.951775,False,64,128,256,cross_entropy,0.41989665422347583,49,64,4,0.0,3.5027271666254944e-05,True,0.4301525297619047,0.06945875066331361,COMPLETE
17,0.4200520833333334,2024-10-31 20:53:10.170415,2024-10-31 21:00:55.525911,0 days 00:07:45.355496,False,64,128,256,cross_entropy,0.40723824030454947,44,64,4,0.0,3.0158108443013353e-05,True,0.4200520833333334,0.06556659868668219,COMPLETE
18,0.39542824074074073,2024-10-31 21:00:55.536436,2024-10-31 21:08:50.981281,0 days 00:07:55.444845,False,64,128,256,cross_entropy,0.38135423664599866,45,64,4,0.0,0.0005931179922036776,True,0.39542824074074073,0.016537591146270687,COMPLETE
19,0.2483790391156463,2024-10-31 21:08:50.989612,2024-10-31 21:31:59.569569,0 days 00:23:08.579957,True,64,128,256,cross_entropy,0.205129299521906,49,64,3,0.009972396488647834,2.833376049238851e-05,True,0.2483790391156463,0.003539808133508472,COMPLETE
20,0.38356346899224814,2024-10-31 21:31:59.585146,2024-10-31 21:37:34.364996,0 days 00:05:34.779850,False,64,128,256,cross_entropy,0.37393230052804693,43,64,2,0.0,0.0005829971315978755,True,0.38356346899224814,0.007072671137020506,COMPLETE
21,0.41317368659420295,2024-10-31 21:37:34.375751,2024-10-31 21:43:27.427209,0 days 00:05:53.051458,False,64,128,128,cross_entropy,0.44886013621960175,46,64,4,0.0,0.00018424272327066766,True,0.41317368659420295,0.04720224302164743,COMPLETE
22,0.41207444105691066,2024-10-31 21:43:27.435464,2024-10-31 21:50:45.405324,0 days 00:07:17.969860,False,64,128,256,cross_entropy,0.4038653935938991,41,64,4,0.0,2.9689121882844248e-05,True,0.41207444105691066,0.058621175720640156,COMPLETE
23,0.42513020833333326,2024-10-31 21:50:45.415794,2024-10-31 21:59:45.123056,0 days 00:08:59.707262,False,64,128,256,cross_entropy,0.443825411455935,50,64,4,0.0,2.1144256718859203e-05,True,0.42513020833333326,0.05770518968009398,COMPLETE
24,0.42133333333333334,2024-10-31 21:59:45.133713,2024-10-31 22:08:33.317575,0 days 00:08:48.183862,False,64,128,256,cross_entropy,0.44735395649167276,50,64,4,0.0,5.784129165241769e-05,True,0.42133333333333334,0.053994413612788575,COMPLETE
25,0.41754427083333334,2024-10-31 22:08:33.326442,2024-10-31 22:17:21.375345,0 days 00:08:48.048903,False,64,128,256,cross_entropy,0.4595585236700151,50,64,4,0.0,6.323279829635215e-05,True,0.41754427083333334,0.0645109395057766,COMPLETE
